38459.city,MIRAMAR BEACH,ST FRANCIS
22208.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17437.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
27911.address1,1341 WEST SIXTH STREET,4646 N MARINE DRIVE
41895.stateavg,KS_SCIP-VTE-1,KY_HF-2
35770.address1,1000 NUT TREE ROAD,509 NORTH MADISON
14489.city,SCOTTSDALE,MONTCLAIR
49416.condition,Pneumonia,Heart Attack
43790.city,MENDOTA,WEST MONROE
35018.city,JENA,DES MOINES
45071.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
30132.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17675.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
43612.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
26495.condition,Heart Failure,Surgical Infection Prevention
35994.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
6392.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
43966.address1,540 THE RIALTO,1978 INDUSTRIAL BLVD
46530.city,DENVER,CUMBERLAND
29187.city,WATERVLIET,BELLEVILLE
15819.address1,1008 MINNEQUA AVE,4567 E 9TH AVENUE
7098.stateavg,CA_HF-3,CA_PN-6
13297.city,MAMOU,WOODLAND HILLS
47872.address1,1375 UNIVERSITY STREET,114 WHITWELL STREET
5254.condition,Heart Failure,Surgical Infection Prevention
6960.stateavg,IN_AMI-2,CA_HF-4
39353.address1,10105 PARK ROW CIRCLE,320 THIRTEENTH ST
43654.condition,Heart Attack,Pneumonia
7010.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23813.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
35447.address1,4023 REAS LANE,631 N 8TH ST
6508.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
370.stateavg,MI_AMI-4,AL_PN-6
42810.address1,200 N RIVER STREET,ONE ST MARY PLACE
6478.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
48926.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
26894.condition,Surgical Infection Prevention,Pneumonia
40131.condition,Pneumonia,Heart Failure
42365.stateavg,KS_SCIP-INF-1,LA_AMI-1
37754.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given Discharge Instructions
12817.condition,Surgical Infection Prevention,Pneumonia
41030.stateavg,MA_PN-6,KY_AMI-4
14841.condition,Heart Failure,Pneumonia
28030.city,OSWEGO,MACOMB
28181.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
21635.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
12009.condition,Surgical Infection Prevention,Pneumonia
36818.stateavg,AR_AMI-2,IA_PN-2
49457.address1,347 ANDRIEUX ST,1721 S STEPHENSON AVE
5013.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
35186.address1,201 MARIARDEN ROAD,2720 STONE PARK BOULEVARD
43553.city,OTTUMWA,BATON ROUGE
4231.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10363.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given Smoking Cessation Advice/Counseling
41833.stateavg,MI_AMI-4,KY_SCIP-INF-4
29219.city,HONOLULU,KANKAKEE
11037.stateavg,KY_SCIP-INF-2,CA_AMI-8A
10205.address1,2222 N NEVADA AVE,5555 WEST LAS POSITAS BOULEVARD
40477.condition,Pneumonia,Surgical Infection Prevention
31870.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Heart Attack Patients Given Beta Blocker at Discharge
39720.condition,Children&#8217;s Asthma Care,Heart Attack
12951.city,MARLBOROUGH,DELANO
23256.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients who were given the  right kind  of antibiotic to help prevent infection
258.condition,Heart Failure,Pneumonia
42884.city,SAN JOSE,NEW ORLEANS
17335.city,CHICAGO,MERIDEN
7927.stateavg,AL_SCIP-INF-1,CA_AMI-7A
15292.city,ROCKVILLE,LONG BEACH
21049.city,BERRYVILLE,OCALA
28675.city,FLORALA,BREESE
38399.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
43124.condition,Pneumonia,Heart Failure
22903.stateavg,IL_AMI-8A,GA_SCIP-INF-2
31838.stateavg,LA_PN-4,IN_SCIP-INF-6
30166.city,FORT LAUDERDALE,OAK FOREST
30395.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
30655.address1,20 YORK ST,315 8TH STREET
38078.condition,Surgical Infection Prevention,Heart Attack
12317.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Pneumonia Patients Given Smoking Cessation Advice/Counseling
18718.stateavg,CT_HF-4,FL_AMI-8A
26286.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
9104.address1,4201 BELFORT ROAD,825 DELBON AVE
45524.city,NEWBURYPORT,ROCKPORT
1431.city,MATTOON,JASPER
19197.stateavg,HI_SCIP-VTE-1,FL_SCIP-INF-3
23553.stateavg,AZ_AMI-5,GA_PN-4
49859.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8827.address1,6041 CADILLAC AVE,1401 SOUTH GRAND AVENUE
17227.city,LEONARDTOWN,TORRINGTON
20387.condition,Heart Failure,Pneumonia
49064.condition,Heart Failure,Pneumonia
25553.condition,Heart Attack,Surgical Infection Prevention
46742.city,PHOENIX,LA PLATA
40900.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
20956.stateavg,AL_SCIP-INF-1,FL_AMI-1
45072.condition,Heart Failure,Surgical Infection Prevention
44332.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
26820.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
38102.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44201.condition,Pneumonia,Heart Failure
46152.address1,ONE HOSPITAL DR SE,200 HEMLOCK M-55
13875.stateavg,KS_PN-4,CA_PN-2
39243.stateavg,CA_PN-4,KS_AMI-8A
33359.city,PHOENIX,CARMEL
35348.condition,Pneumonia,Heart Attack
33665.address1,476 LIBERTY ROAD; P O BOX 579,1020 HIGH RD
8259.condition,Surgical Infection Prevention,Heart Attack
36744.city,JUPITER,DECORAH
15618.address1,1555 N BARRINGTON RD,1338 PHAY AVE
30486.address1,901 MONTGOMERY STREET,615 NORTH PROMENADE STREET;P O BOX 530
32168.condition,Heart Failure,Surgical Infection Prevention
33273.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
5384.city,MANHATTAN,WEST MEMPHIS
5263.condition,Surgical Infection Prevention,Heart Attack
24325.address1,2520 E DUPONT RD,200 INDUSTRIAL BOULEVARD
24338.condition,Pneumonia,Heart Failure
1702.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38423.address1,275 SANDWICH STREET,211 E EARL STREET
19303.city,HEALDSBURG,DAYTONA BEACH
31423.city,ELGIN,LA PORTE
43314.condition,Pneumonia,Heart Failure
34162.address1,14114 ALABAMA ST,2200 N SECTION ST
42123.address1,107 TREMONT STREET,305 ESTILL STREET
498.city,SAN FRANCISCO,CENTRE
663.address1,9301 CONNECTICUT DR,209 NORTH MAIN STREET
33050.condition,Pneumonia,Surgical Infection Prevention
459.stateavg,GA_PN-6,AL_SCIP-CARD-2
46203.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
49616.city,OSCEOLA,SOUTHFIELD
41836.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
12552.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
37406.address1,350 NORTH MERIDIAN STREET,401 WOODLAND HILLS BLVD
39112.stateavg,IL_SCIP-INF-2,KY_SCIP-VTE-2
47424.stateavg,AK_AMI-4,MA_PN-6
311.stateavg,MD_HF-3,AL_PN-7
32639.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
35590.condition,Heart Attack,Pneumonia
4912.address1,1740 WEST TAYLOR ST SUITE 1400,1100 EAST POPLAR STREET
30417.stateavg,IA_AMI-2,IL_SCIP-INF-1
27446.stateavg,GA_PN-7,IL_SCIP-INF-1
767.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26283.stateavg,FL_AMI-1,HI_SCIP-INF-4
49991.condition,Heart Failure,Heart Attack
18634.condition,Heart Attack,Heart Failure
47071.measurename,Heart Attack Patients Given Aspirin at Arrival,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
11396.city,DEL NORTE,SAN FRANCISCO
6805.address1,605 OAK STREET,10 WOODLAND ROAD
38817.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
5256.city,WICHITA,HOT SPRINGS
29672.stateavg,FL_SCIP-VTE-2,IL_PN-2
21327.condition,Heart Attack,Heart Failure
24458.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
26573.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
47422.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Given Smoking Cessation Advice/Counseling
46744.address1,3001 HOSPITAL DRIVE,5 GARRETT AVENUE
48860.city,CHICAGO,MUSKEGON
8527.stateavg,CO_PN-3B,CA_SCIP-INF-1
41759.city,MCHENRY,WILLIAMSTOWN
24999.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
35922.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
35662.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
9807.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46811.stateavg,IL_SCIP-VTE-2,MD_AMI-7A
31298.condition,Surgical Infection Prevention,Pneumonia
33180.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
12488.condition,Surgical Infection Prevention,Heart Failure
24181.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15484.stateavg,AL_PN-3B,CO_PN-6
28226.stateavg,MA_AMI-4,IL_SCIP-INF-2
21259.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38096.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
9928.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30012.measurename,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
17898.stateavg,CA_AMI-8A,DE_SCIP-INF-3
33145.address1,9961 SIERRA AVE,401 SAWYER RD
36774.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
44271.stateavg,IN_HF-3,LA_AMI-4
12802.stateavg,KY_PN-7,CA_SCIP-VTE-1
7532.address1,6041 CADILLAC AVE,700 LAWRENCE EXPRESSWAY
2265.condition,Surgical Infection Prevention,Pneumonia
39407.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
48765.address1,3001 HOSPITAL DRIVE,2033 MAIN STREET
5971.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Pneumonia Patients Assessed and Given Pneumococcal Vaccination
2998.city,NEW ORLEANS,TUCSON
26103.stateavg,AZ_SCIP-VTE-1,HI_SCIP-INF-3
19508.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22105.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
43175.condition,Pneumonia,Surgical Infection Prevention
38024.address1,305 ESTILL STREET,2770 N WEBB ROAD
35724.city,LAKE CHARLES,JEFFERSON
2856.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
48019.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
15014.city,JACKSON,YREKA
6613.condition,Heart Attack,Surgical Infection Prevention
20901.condition,Pneumonia,Surgical Infection Prevention
41305.city,FRESNO,FRANKFORT
49450.city,SOUTH HAVEN,IRON MOUNTAIN
37446.city,ASHLAND,LEAVENWORTH;
21202.address1,99 MONTECILLO RD,8201 W BROWARD BLVD
25894.address1,4864 JACKSON STREET,903 N COURT ST
23583.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
40039.stateavg,KY_PN-6,KY_SCIP-INF-6
16476.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1736.city,MIAMI,CARROLLTON
49227.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
49062.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
15831.stateavg,FL_PN-2,CO_SCIP-VTE-1
40880.stateavg,ME_PN-4,KY_AMI-8A
5897.stateavg,MD_PN-7,AR_PN-3B
25517.address1,455 PLUMAS BLVD,1050 VALDOSTA HIGHWAY
34920.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
16292.stateavg,CA_SCIP-CARD-2,CO_AMI-4
30530.condition,Surgical Infection Prevention,Heart Attack
44575.address1,2000 SUTTER PLACE,1700 W LINDBERG DRIVE
30583.stateavg,CA_PN-3B,IL_AMI-5
16067.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39290.stateavg,KS_SCIP-INF-4,KS_AMI-4
481.condition,Surgical Infection Prevention,Pneumonia
9015.condition,Surgical Infection Prevention,Pneumonia
24859.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26210.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31816.stateavg,IA_SCIP-VTE-1,IN_AMI-1
34476.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
19102.address1,777 HEMLOCK STREET,200 AVENUE F NE
33349.address1,3333 NORTH SEMINARY,11700 N MERIDIAN ST
30485.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
39404.city,CADIZ,HILLSBORO
1393.stateavg,AR_SCIP-VTE-2,AL_HF-3
7526.condition,Pneumonia,Heart Attack
16608.condition,Heart Attack,Surgical Infection Prevention
46066.address1,1044 N FRANCISCO AVE,795 MIDDLE STREET
18678.city,HANFORD,HOLLYWOOD
13055.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
27215.condition,Pneumonia,Heart Attack
34956.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47094.stateavg,ID_SCIP-INF-6,MD_HF-4
18171.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
35101.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
46662.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
40453.address1,14850 ROSCOE BLVD,210 MARIE LANGDON DRIVE
8977.stateavg,AL_SCIP-VTE-1,CA_AMI-3
12621.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
36037.condition,Pneumonia,Heart Failure
39458.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Assessed and Given Influenza Vaccination
22176.address1,123 SUMMER STREET,1451 EL CAMINO REAL
23571.city,JOLIET,COLUMBUS
39453.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Assessed and Given Influenza Vaccination
45218.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
7925.stateavg,IA_SCIP-CARD-2,CA_AMI-4
40354.condition,Surgical Infection Prevention,Heart Attack
10315.city,UPLAND,MORENO VALLEY
47272.stateavg,AK_SCIP-CARD-2,MA_PN-4
11596.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Failure Patients Given Discharge Instructions
38177.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
21124.condition,Pneumonia,Heart Failure
40565.city,WAUCHULA,RICHMOND
43176.address1,315 E 13TH ST,3600 FLORIDA STREET
40362.address1,274 E CHICAGO ST,401 EAST 20TH STREET
14309.stateavg,IA_SCIP-INF-1,CA_PN-4
40878.city,GRASS VALLEY,LEXINGTON
28879.stateavg,CA_PN-6,IL_SCIP-INF-1
3255.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
14507.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
36830.address1,701 EAST 2ND STREET,1213 GARFIELD AVENUE
27784.condition,Pneumonia,Heart Failure
46585.city,HUNTSVILLE,LEONARDTOWN
33618.address1,33700 HIGHWAY 43,5165 MCCARTY LN
3248.condition,Heart Attack,Surgical Infection Prevention
11122.address1,1350 13TH AVE SOUTH,1200 N STATE ST
32872.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
24802.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Aspirin at Discharge
30239.address1,1000 GREENLEY ROAD,3001 GREENBAY ROAD
23325.condition,Heart Attack,Pneumonia
6931.address1,701 PRINCETON AVENUE SOUTHWEST,4445 MAGNOLIA AVENUE
934.condition,Pneumonia,Heart Attack
27024.address1,823 SOUTH 17TH,5409 N KNOXVILLE AVE
30668.stateavg,KS_HF-3,IL_PN-5C
48971.address1,5665 PEACHTREE DUNWOODY ROAD,16001 W NINE MILE RD
31916.condition,Heart Failure,Heart Attack
21999.stateavg,FL_AMI-8A,FL_SCIP-VTE-2
17106.stateavg,IL_PN-2,CT_HF-3
42864.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
35676.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
22164.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
36729.city,CLEARWATER,DENISON
20640.stateavg,AZ_AMI-1,FL_HF-3
10740.stateavg,AZ_PN-4,CA_HF-3
47114.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39422.condition,Heart Attack,Heart Failure
41307.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
11426.city,SAN DIEGO,HARBOR CITY
49151.city,KAHUKU,PORT HURON
16035.city,MANY,DENVER
28288.stateavg,CA_PN-7,IL_AMI-8A
36068.stateavg,IA_AMI-3,IA_PN-7
49008.condition,Surgical Infection Prevention,Pneumonia
25124.stateavg,CA_AMI-8A,GA_PN-7
3806.city,JERSEYVILLE,PHOENIX
47463.address1,801 W GORDON STREET,25 HIGHLAND AVENUE
10083.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34005.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
10128.hospitaltype,Critical Access Hospitals,Acute Care - VA Medical Center
45567.address1,5451 WALNUT AVE,PRITHAM AVENUE PO BOX 1129
32265.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
6067.stateavg,GA_PN-6,AR_AMI-3
24874.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
14216.address1,1116 MILLIS AVE,1600 S ANDREWS AVE
5872.stateavg,CA_SCIP-INF-4,AR_PN-3B
8131.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
48332.address1,3751 KATELLA AVENUE,41 HIGHLAND AVENUE
44824.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
22604.city,LITTLE ROCK,DALTON
31773.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44412.stateavg,GA_AMI-2,LA_PN-3B
2679.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38917.address1,5974 PENTZ ROAD,14TH & OREGON
19955.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
21179.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9855.condition,Heart Failure,Heart Attack
12159.stateavg,LA_SCIP-CARD-2,CA_PN-2
31355.condition,Pneumonia,Surgical Infection Prevention
31245.condition,Heart Failure,Pneumonia
21215.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
48162.address1,6580 165TH STREET,125 PARKER HILL AVENUE
33960.city,BEREA,LINTON
7676.condition,Pneumonia,Heart Attack
26844.city,FORTUNA,CANTON
18517.city,SANDERSVILLE,PANAMA CITY
43483.condition,Heart Failure,Surgical Infection Prevention
41519.address1,1301 BELLEVILLE AVENUE,60 MERCY COURT
10509.address1,180 WEST ESPLANADE AVENUE,ONE MEDICAL PLAZA
6394.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
7867.stateavg,FL_HF-3,CA_SCIP-INF-3
45111.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
277.city,HERINGTON,ALABASTER
44297.address1,140 LINCOLN AVENUE,312 GRAMMONT ST SUITE 101
24262.condition,Surgical Infection Prevention,Heart Failure
18788.stateavg,GA_SCIP-INF-4,FL_PN-7
10938.city,OVERLAND PARK,SOUTH LAKE TAHOE
5053.condition,Pneumonia,Surgical Infection Prevention
13029.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
38055.address1,201 CLIFTON STREET,12300 METCALF AVENUE
4432.stateavg,AZ_SCIP-INF-3,AZ_AMI-8A
32349.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
28056.address1,2701 17TH ST,2401 WEST MAIN
22674.condition,Heart Failure,Surgical Infection Prevention
38017.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
11077.measurename,Heart Attack Patients Given Beta Blocker at Discharge,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
39535.address1,800 ZORN AVENUE,809 BRAMLEY
41496.stateavg,FL_AMI-1,KY_PN-5C
19995.address1,OLD ROAD TO 9 ACRE CORNER,60 MEMORIAL MEDICAL PARKWAY
19114.city,BRAZIL,WINTER HAVEN
5494.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
19289.stateavg,FL_SCIP-INF-6,FL_PN-3B
40611.city,LEWISTON,HOPKINSVILLE
25360.address1,2776 CLEVELAND AVE,1670 CLAIRMONT ROAD
29147.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
17985.city,THOMASTON,WASHINGTON
1051.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
10028.city,JERSEYVILLE,MARTINEZ
2667.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
33619.city,HORSE CAVE,LAFAYETTE
34745.stateavg,KS_SCIP-INF-4,IA_AMI-7A
46733.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
39368.stateavg,IA_SCIP-CARD-2,KS_AMI-8A
13707.condition,Pneumonia,Surgical Infection Prevention
22262.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
6128.city,DES MOINES,PARIS
41855.city,VERO BEACH,HYDEN
37238.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
36950.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
12373.condition,Heart Failure,Surgical Infection Prevention
11754.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
17963.address1,1133 EAGLE'S LANDING PARKWAY,900 23RD ST NW
24626.stateavg,IA_HF-2,GA_PN-3B
30793.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
30789.address1,1256 MILITARY STREET SOUTH,FERRELL ROAD
28909.condition,Heart Attack,Surgical Infection Prevention
42453.stateavg,LA_SCIP-VTE-1,LA_PN-4
15554.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
13373.stateavg,KS_HF-1,CA_PN-7
3594.condition,Surgical Infection Prevention,Heart Attack
12083.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
32222.city,KINDER,SOUTH BEND
39380.address1,1311 SOUTH I STREET,535 SOUTH FREEBRON
40498.city,MONROE,FLORENCE
30746.address1,315 WEST 15TH STREET,611 S MARSHALL AVENUE
3289.condition,Heart Failure,Pneumonia
241.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1284.city,TALLAHASSEE,ASHLAND
6387.address1,1900 SULLIVAN AVENUE,611 WEST LEE AVENUE
39971.address1,1050 VALDOSTA HIGHWAY,5000 KENTUCKY RTE 321
31309.address1,207 JEFFERSON STREET,1125 W JEFFERSON ST PO BOX 549
